Temperature	Date	Time
20	28/02/2022	15:14:05.016806
20	28/02/2022	15:24:05.373291
20	28/02/2022	15:34:05.634320
20	28/02/2022	15:44:05.990817
20	28/02/2022	15:54:06.346870
20	28/02/2022	16:04:06.703227
20	28/02/2022	16:14:07.059607
20	28/02/2022	16:24:07.415936
20	28/02/2022	16:34:07.690217
20	28/02/2022	16:44:08.046241
20	28/02/2022	16:54:08.402464
20	28/02/2022	17:04:08.758972
20	28/02/2022	17:14:09.115168
20	28/02/2022	17:24:09.471476
20	28/02/2022	17:34:09.827857
20	28/02/2022	17:44:10.086186
20	28/02/2022	17:54:10.442279
20	28/02/2022	18:04:10.798437
20	28/02/2022	18:14:11.120322
19	28/02/2022	18:24:11.384257
20	28/02/2022	18:34:11.650862
19	28/02/2022	18:44:12.007393
20	28/02/2022	18:54:12.363871
19	28/02/2022	19:04:12.720242
19	28/02/2022	19:14:13.076668
19	28/02/2022	19:24:13.433073
20	28/02/2022	19:34:13.789309
20	28/02/2022	19:44:14.145623
20	28/02/2022	19:54:14.501975
20	28/02/2022	20:04:14.858152
20	28/02/2022	20:14:15.214487
21	28/02/2022	20:24:15.570866
21	28/02/2022	20:34:18.185086
21	28/02/2022	20:44:20.799464
21	28/02/2022	20:54:21.155929
21	28/02/2022	21:04:21.512241
20	28/02/2022	21:14:21.869139
21	28/02/2022	21:24:24.388116
21	28/02/2022	21:34:24.744524
20	28/02/2022	21:44:25.079593
20	28/02/2022	21:54:25.435968
20	28/02/2022	22:04:25.792315
20	28/02/2022	22:14:26.148688
20	28/02/2022	22:24:26.504942
20	28/02/2022	22:34:26.861328
20	28/02/2022	22:44:27.217733
20	28/02/2022	22:54:27.573983
20	28/02/2022	23:04:27.930367
20	28/02/2022	23:14:28.286787
19	28/02/2022	23:24:28.549687
19	28/02/2022	23:34:28.810483
19	28/02/2022	23:44:29.166758
19	28/02/2022	23:54:29.522996
19	01/03/2022	00:04:32.087985
19	01/03/2022	00:14:32.444237
19	01/03/2022	00:24:32.800562
19	01/03/2022	00:34:33.062850
19	01/03/2022	00:44:33.419502
18	01/03/2022	00:54:33.775828
18	01/03/2022	01:04:34.132057
18	01/03/2022	01:14:34.488632
17	01/03/2022	01:24:34.844851
17	01/03/2022	01:34:35.201085
17	01/03/2022	01:44:35.557321
17	01/03/2022	01:54:35.913521
17	01/03/2022	02:04:36.269165
17	01/03/2022	02:14:36.625074
16	01/03/2022	02:24:39.148230
16	01/03/2022	02:34:39.419248
16	01/03/2022	02:44:39.775070
16	01/03/2022	02:54:40.130891
16	01/03/2022	03:04:40.486766
16	01/03/2022	03:14:40.842591
16	01/03/2022	03:24:41.198447
16	01/03/2022	03:34:41.554296
16	01/03/2022	03:44:41.874303
16	01/03/2022	03:54:42.230740
16	01/03/2022	04:04:42.497508
15	01/03/2022	04:14:42.853958
15	01/03/2022	04:24:43.210727
15	01/03/2022	04:34:43.468006
15	01/03/2022	04:44:43.824527
15	01/03/2022	04:54:44.181110
15	01/03/2022	05:04:44.537022
15	01/03/2022	05:14:44.874307
15	01/03/2022	05:24:45.230805
15	01/03/2022	05:34:45.502188
16	01/03/2022	05:44:48.018239
16	01/03/2022	05:54:48.304003
16	01/03/2022	06:04:48.660219
16	01/03/2022	06:14:51.238155
16	01/03/2022	06:24:51.594879
16	01/03/2022	06:34:51.873998
17	01/03/2022	06:44:52.230794
17	01/03/2022	06:54:52.587536
17	01/03/2022	07:04:52.874246
17	01/03/2022	07:14:53.143347
17	01/03/2022	07:24:53.419709
17	01/03/2022	07:34:53.775558
17	01/03/2022	07:44:54.131402
17	01/03/2022	07:55:01.209550
17	01/03/2022	08:05:01.503657
17	01/03/2022	08:15:01.761507
17	01/03/2022	08:25:02.117369
18	01/03/2022	08:35:02.473792
18	01/03/2022	08:45:02.830587
18	01/03/2022	08:55:03.187115
18	01/03/2022	09:05:03.467532
18	01/03/2022	09:15:03.729093
18	01/03/2022	09:25:03.993541
18	01/03/2022	09:35:04.304625
19	01/03/2022	09:45:13.691417
19	01/03/2022	09:55:13.952796
