Temperature	Date	Time
23	20/03/2022	16:23:13.485354
22	20/03/2022	16:33:13.841775
22	20/03/2022	16:43:14.114932
21	20/03/2022	16:53:14.376636
21	20/03/2022	17:03:14.730140
21	20/03/2022	17:13:15.086548
22	20/03/2022	17:23:15.363202
22	20/03/2022	17:33:15.684824
22	20/03/2022	17:43:16.041292
22	20/03/2022	17:53:16.360320
21	20/03/2022	18:03:16.627353
21	20/03/2022	18:13:16.896147
22	20/03/2022	18:23:17.241468
22	20/03/2022	18:33:17.498250
22	20/03/2022	18:43:17.839982
22	20/03/2022	18:53:18.114106
22	20/03/2022	19:03:18.441744
22	20/03/2022	19:13:18.704932
22	20/03/2022	19:23:18.980537
22	20/03/2022	19:33:19.333608
22	20/03/2022	19:43:19.689966
22	20/03/2022	19:53:20.010194
22	20/03/2022	20:03:20.279383
